Email,Public Title,Description,Other Title,Contains Geographic Markers,Update Frequency,Access Level
gAAAAABnV2rNodhsKuX0AJBcP_XyORxumHpKKV8EZIb8p9xEhfZ0SaHIpkfDeqXIxXPO5oMi9_Oo5h-rXkTBls6gfMokdyi8esfBArqaxKacWE3nWeOgL-AHBc3CdNIgl8Ec20ubT6Vv,Niagara Parks Commission Commissioners,"This dataset contains the directory for the Commissioners of the Niagara Parks Commission.  It includes the position, member name, tenure, remuneration and location for each member.",The Commissioners,True,As required,Open/Public
gAAAAABnV2rNTjAAAcZams3kshZIzXyqK4CiltT2uHJtXcNKlNFAaVFkvKxHp7Q4VkLeFxtvrfzzwPI_YuE1KRIOuKhcvu0e1caXoL-tFRhtq-nF0MKykrualbMKW1gmCt_Ue3bbk4dW,Executive Team,This dataset contains the names and positions of executive staff members.,Executive Team,False,As required,Open/Public
gAAAAABnV2rNbh9ZcyivA-TAahUc29KeQ42hRdAeGoiXNlxVUkWlKTffNl9Xg1wRReJO-86Vcsl-fdv-4UQGB1Na1eiblfmVXbzBvv6h-nAG6cM5917VUao=,Niagara Glen Trail Counter Data,This dataset contains the number of visitors to the Niagara Glen,,True,Monthly,Open/Public
gAAAAABnV2rNtLLE52gSef92wTfSHwyeKT3YpBIQhtXe1n5LhClS0fSEHoZgp-Muj3naiC7pLQ0y-qx9RXtivtLmdczp5AbDbbps-CFDnvAhmJMOu3V56OY=,Donations of trees to be planted on NPC lands as a memorial to individuals.,This dataset contains information on the donor and location of all memorial trees,,True,Other,Restricted
gAAAAABnV2rNG1ozEFhi9QpE3xcZ9ycWwDlTMRh1SBZaxpW6lFNjF1lqXYvJJfz8z4iAqb2yS9bvIuyZ-UMmetLdWxDMF6RtHJbfFfhx68XIzx1ARYkzfp4=,Donations of park benches to be placed on NPC lands as a memorial to individuals.,This dataset contains information on the donor and location of all memorial benches,,True,Other,Restricted
gAAAAABnV2rNf45JitIr3mJJV57XkRy-mOtpaW1CCVwedPxqXcdD0sWL08rlRHFOA2-tw35h0scKq6uF5zcnSo_Rz9Hf2Xj97ZQFCUvC66piniCwByB5OvI=,Bouldering,This dataset contains information on the permit holder for the purposes of  bouldering on outdoor climbing structures with natural hand holds and the use of boulders for body support These relate to Bouldering activities that take place in the Niagara Glen,,False,Other,Restricted
gAAAAABnV2rNGIqdRxrmzipFCO2pi5_epNxqJ_RRfykJpLn-8kjara9aJRj2DuTo8m9pU9GoZlnfyRy-yjxbgMDCWil3mmzc41kAsHK5Cn2HJ3Kfl4PR1W4=,Annual Event and Programming Calendar,This dataset provides a full listing of events and programming held within NPC.,Event Calendar,True,As Required,Open/Public
gAAAAABnV2rNuFh2txHDe2i3iz8mbBjtY8vN8KyWAOoyLo5uEURpFol52N2kEm3xfiyVH5lDaZCI7aQI32eArgxY4ZP4dV1FNZ7_MNTC02F9d_wW4mpHCSw=,Fee Schedule,"This dataset contains information regarding the fees charged by NPC for parking, admissions, golf, rentals, packages, etc.",Rates and Fees Schedule,False,Annually,Open/Public
gAAAAABnV2rNbiJNh-DKwbC10-YacVlktNlXk0UyJnaERtjOZhbVq9F1zYJantJ_vkgavrPjw0vTXmtLWbRl5IjDQrYIvtVZCuy80QGj9lqyJH-9tvcUuZM=,Expense reimbursement for Commissioners and Senior Staff,This dataset includes details of expenses incurred by senior staff and Commissioners.,Expense Disclosure,False,Quarterly,Open/Public
gAAAAABnV2rNI8HOyHdnABgU2GD3810ZJlYLA5sM9sHXaH8M0rNj-cE4cANQovA-dnNjyWxZXBX5u2qwTQDzG2x0pXogRJEfktjyMgpYLARUlQ_aP1VBhTw=,Schedule of Meetings,This dataset includes the dates and locations of upcoming and previous Commission meetings.,Schedule of Commission meetings,True,Annually,Open/Public
gAAAAABnV2rNFOsYYfP2u-PsSPDQwj4CsNStDi5c6toyqWnYhc9dkP6yX3iOCJLWxmlMGtuBUXzsiSNTmqyiTkShMNdhJOFgJT90b7F2q4u7lo3bn0YNNc8=,Open Bid Opportunities,This dataset includes a listing of all open bid opportunities.,Bid Opportunities,False,As required,Open/Public
gAAAAABnV2rNGyy-BKaBX5KLqqfKqc9dtGdFI7VSuaxf_HoKxBdz4wQZ40ApokRv2dfXj6DuE8hSyH1fFJq6yqjHOhphoWp7zM7rXKiF28tBkWzEE2Jw9-0=,Attendance Statistics,This dataset includes historical attendance and forecasts.,Attendance Forecast,False,Annually,Open/Public
gAAAAABnV2rNyGh7DWhhcHzfBquz_Wny0YKAaXJYD8u76vzEBsGho7onHD8Jclp9Q-DCshwx50kdC7uoGRFc6T50g7jbNprt5GUg_7t3UihmU9YzZNYjgiM=,Customer Survey,This dataset includes high level informaton about customer behaviour and demographics.,Customer data,False,Annually,Open/Public
gAAAAABnV2rNM1miwrSNvFaZweC12hP4lDB1BOBGG_uZFwNPZWNL6wINOMypxLwr-XRbu0uCyNOE2ycYk9Hrkgv5p7DiHwQRwjLaps0ZLYCta1OWu0PTI74=,NPC's Collection of Artwork,This dataset contains a listing of art in the NPC art collection.,Art Work Database,False,Other,Restricted
gAAAAABnV2rNxyKJ0veJSTpDQqJRYOV3Z0zInJnk_cX6w2rW6SQpK_SQJAk0wtAJFqyW4cw2WLnBeS4zKYb1sd--meh_-dhW59AIiEeP0E90GwjzRbqTFfY=,Historical Plaques placed on NPC property,List of plaque wording,,True,Annually,Open/Public
gAAAAABnV2rNfupTKR322PzWRDMGAmbEKRobnMUlFV-y2QMngRN7wz9bY6SrVn0uAZnbD8Lch40zqRVq-k7XHIcyt3yhfwUVwvRPCuX6HzpNAINFQ_SD34g=,Listing of Historic Sites on NPC property.,Staffed Public Historic Sites,,True,Annually,Open/Public
gAAAAABnV2rN0JCBMatfrQEcqfHCqaVgrG1RTtC7FzT11DWEB-sfC8D8YVsoTE3k7rmZBzOeyN0M8H-B3Uk0eXwaSa2QHDGh1kIAE48mtLuiU8LE4aNSp0Y=,Prescribed burn activity  to encourage regenerative growth of native grasses and plants and control invasive plant species,"This data set contains names, locations and tactics required to successfully implement or burn program. ",,True,As required,Restricted
gAAAAABnV2rNAQsRrp_I3yFBTOk0hmbAqMSog7BShpB7sGVJf3VdVstJCsTFQNkvEZ5Gcob6itb7JeiSa23SEo6FSDlhzpnEILX7JMafrcpfE94gejqKmb8=,Waste Management,"This data set contains internal billing charges, tare weights and waste stream diversion data",,False,Annually,Open/Public
